genres/bigger_cut\blues/blues_1.wav,blues
genres/bigger_cut\blues/blues_10.wav,blues
genres/bigger_cut\blues/blues_100.wav,blues
genres/bigger_cut\blues/blues_101.wav,blues
genres/bigger_cut\blues/blues_102.wav,blues
genres/bigger_cut\blues/blues_103.wav,blues
genres/bigger_cut\blues/blues_104.wav,blues
genres/bigger_cut\blues/blues_105.wav,blues
genres/bigger_cut\blues/blues_106.wav,blues
genres/bigger_cut\blues/blues_107.wav,blues
genres/bigger_cut\blues/blues_108.wav,blues
genres/bigger_cut\blues/blues_109.wav,blues
genres/bigger_cut\blues/blues_11.wav,blues
genres/bigger_cut\blues/blues_110.wav,blues
genres/bigger_cut\blues/blues_111.wav,blues
genres/bigger_cut\blues/blues_112.wav,blues
genres/bigger_cut\blues/blues_113.wav,blues
genres/bigger_cut\blues/blues_114.wav,blues
genres/bigger_cut\blues/blues_115.wav,blues
genres/bigger_cut\blues/blues_116.wav,blues
genres/bigger_cut\blues/blues_117.wav,blues
genres/bigger_cut\blues/blues_118.wav,blues
genres/bigger_cut\blues/blues_119.wav,blues
genres/bigger_cut\blues/blues_12.wav,blues
genres/bigger_cut\blues/blues_120.wav,blues
genres/bigger_cut\blues/blues_121.wav,blues
genres/bigger_cut\blues/blues_122.wav,blues
genres/bigger_cut\blues/blues_123.wav,blues
genres/bigger_cut\blues/blues_124.wav,blues
genres/bigger_cut\blues/blues_125.wav,blues
genres/bigger_cut\blues/blues_126.wav,blues
genres/bigger_cut\blues/blues_127.wav,blues
genres/bigger_cut\blues/blues_128.wav,blues
genres/bigger_cut\blues/blues_129.wav,blues
genres/bigger_cut\blues/blues_13.wav,blues
genres/bigger_cut\blues/blues_130.wav,blues
genres/bigger_cut\blues/blues_131.wav,blues
genres/bigger_cut\blues/blues_132.wav,blues
genres/bigger_cut\blues/blues_133.wav,blues
genres/bigger_cut\blues/blues_134.wav,blues
genres/bigger_cut\blues/blues_135.wav,blues
genres/bigger_cut\blues/blues_136.wav,blues
genres/bigger_cut\blues/blues_137.wav,blues
genres/bigger_cut\blues/blues_138.wav,blues
genres/bigger_cut\blues/blues_139.wav,blues
genres/bigger_cut\blues/blues_14.wav,blues
genres/bigger_cut\blues/blues_140.wav,blues
genres/bigger_cut\blues/blues_141.wav,blues
genres/bigger_cut\blues/blues_142.wav,blues
genres/bigger_cut\blues/blues_143.wav,blues
genres/bigger_cut\blues/blues_144.wav,blues
genres/bigger_cut\blues/blues_145.wav,blues
genres/bigger_cut\blues/blues_146.wav,blues
genres/bigger_cut\blues/blues_147.wav,blues
genres/bigger_cut\blues/blues_148.wav,blues
genres/bigger_cut\blues/blues_149.wav,blues
genres/bigger_cut\blues/blues_15.wav,blues
genres/bigger_cut\blues/blues_150.wav,blues
genres/bigger_cut\blues/blues_151.wav,blues
genres/bigger_cut\blues/blues_152.wav,blues
genres/bigger_cut\blues/blues_153.wav,blues
genres/bigger_cut\blues/blues_154.wav,blues
genres/bigger_cut\blues/blues_155.wav,blues
